code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type,airline
AQA,SBAQ,Araraquara,-21.816668,-48.13333,2322,http://www.daesp.sp.gov.br/aeroporto-estadual-de-araraquara-bartolomeu-de-gusmao/,America/Sao_Paulo,AQA,BR,Araraquara,Sao Paulo,Araraquara,AP,Azul
ATM,SBHT,Altamira Airport,-3.2,-52.216667,321,,America/Santarem,ATM,BR,Altamira,Para,Altamira,AP,Azul
BAT,SNBA,Airport Chafei Amsei,-20.55,-48.55,1732,,America/Sao_Paulo,BAT,BR,Barretos,Sao Paulo,Barretos,AP,Azul
BPG,SBBW,Barra Do Garcas,-15.8606725,-52.39006674230171,1141,,America/Cuiaba,BPG,BR,Barra do Garcas,Mato Grosso,Barra Do Garcas,AP,Azul
BRA,SNBR,Barreiras Airport,-12.0794806,-45.00970535335743,2440,,America/Bahia,BRA,BR,Barreiras,Bahia,Barreiras,AP,Azul
BVH,SBVH,Vilhena Airport,-12.6940825,-60.09875397255124,1922,,America/Porto_Velho,BVH,BR,,,,AP,Azul
BVS,SNVS,Breves,-1.6351127,-50.44221729198899,68,,America/Belem,BVS,BR,Breves,Para,Breves,AP,Azul
CAU,SNRU,Caruaru,-8.25,-35.916668,1932,,America/Recife,CAU,BR,Caruaru,Pernambuco,Caruaru,AP,Azul
CIZ,SWKO,Coari,-4.083333,-63.13333,95,,America/Manaus,CIZ,BR,Coari,Amazonas,Coari,AP,Azul
CJZ,SJZA,Cajazeiras Airport,-6.882778,-38.615833,1099,,America/Fortaleza,CJZ,BR,Cajazeiras,,,AP,Azul
CMG,SBCR,Corumba Internacional Airport,-19.0125785,-57.66975905679873,485,,America/Campo_Grande,CMG,BR,,,,AP,Azul
CUR,TNCC,Curacao International Airport,12.1890286,-68.96216089958281,13,,America/Curacao,CUR,CW,Sint Michiel Liber,,,AP,Azul
DIQ,SNDV,Divinopolis,-20.18147045,-44.87004451735432,2562,,America/Sao_Paulo,DIQ,BR,Divinopolis,Minas Gerais,Divinopolis,AP,Azul
ERN,SWEI,Eirunepe,-6.583333,-69.88333,416,,America/Eirunepe,ERN,BR,Eirunepe,Amazonas,Eirunepe,AP,Azul
FLL,KFLL,Fort Lauderdale-Hollywood International Airport,26.072017,-80.15099673135214,45,http://www.broward.org/airport,America/New_York,FLL,US,,,,AP,Azul
FRC,SIMK,Franca,-20.551945,-47.4375,3303,http://www.daesp.sp.gov.br/aeroporto-detalhe/?id=859,America/Sao_Paulo,FRC,BR,Franca,Sao Paulo,Franca,AP,Azul
GGJ,SSGY,Guaíra Airport,-24.08087945,-54.19114629441818,862,,America/Sao_Paulo,GGJ,BR,Salto del Guaira,Canindeyu,,AP,Azul
GNM,SNGI,Guanambi,-14.3,-42.783333,1729,,America/Bahia,GNM,BR,Guanambi,Bahia,Guanambi,AP,Azul
GPB,SSGG,Tancredo Thomaz Faria,-25.333332,-51.5,3395,,America/Sao_Paulo,GPB,BR,Guarapuava,Parana,Guarapuava,AP,Azul
GVR,SBGV,Governador Valadares Airport,-18.850279,-41.933334,492,,America/Sao_Paulo,GVR,BR,Governador Valadares,Minas Gerais,Governador Valadares,AP,Azul
IAL,,Aeroporto Municipal de Salinas,-16.208333,-42.321944,2503,,America/Sao_Paulo,IAL,BR,,,,AP,Azul
IMP,SBIZ,Imperatriz Airport,-5.5301267,-47.45800807097166,390,,America/Fortaleza,IMP,BR,Imperatriz,Maranhao,Imperatriz,AP,Azul
IPN,SBIP,Usiminas Airport,-19.5,-42.533333,725,,America/Sao_Paulo,IPN,BR,Ipatinga,Minas Gerais,Ipatinga,AP,Azul
IRZ,SWTP,Tapuruquara,-0.37810525,-64.99261880076497,137,,America/Manaus,IRZ,BR,Santa Isabel do Rio Negro,Amazonas,Santa Isabel Do Rio Negro,AP,Azul
ITB,SBIH,Itaituba,-4.283333,-55.983334,22,,America/Santarem,ITB,BR,Itaituba,Para,Itaituba,AP,Azul
JAW,SNAB,Aeroporto de Araripina,-7.586389,-40.535556,2195,,America/Recife,JAW,BR,,,,AP,Azul
JMA,,Marriot Astrodome,29.983334,-95.34,121,,America/Chicago,HOU,US,Aldine,Texas,Harris County,AP,Azul
JPE,SNEB,Nagib Demachki Airport,-3.019722,-47.316389,443,,America/Sao_Paulo,JPE,BR,Paragominas,,,AP,Azul
JPO,SNTS,Brigadeiro Firmino Ayres Airport,-7.037496939556,-37.25184761766,850,,America/Recife,NVM,BR,Patos,,,AP,Azul
JPR,SBJI,Ji-Parana Airport,-10.870556,-61.84667,598,,America/Porto_Velho,JPR,BR,Ji Parana,Rondonia,Ji-Parana,AP,Azul
JTC,SBAE,Bauru-Arealva Airport,-22.15705835,-49.07515943787047,1962,http://www.daesp.sp.gov.br/aeroporto-estadual-de-bauru-arealva-moussa-nakhal-tobias/,America/Sao_Paulo,JTC,BR,Bauru,Sao Paulo,Bauru,AP,Azul
LBR,SWLB,Labrea,-7.25,-64.85,190,,America/Manaus,LBR,BR,Canutama,Amazonas,Canutama,AP,Azul
LEC,SBLE,Coronel Horacio de Mattos Airport,-12.48,-41.281113,1676,,America/Bahia,LEC,BR,Vera Cruz,Bahia,Andarai,AP,Azul
LHN,,Lishan,23.433332,121.3,0,,Asia/Taipei,LHN,TW,Hualian,Taiwan,Hualien,AP,Azul
LIS,LPPT,Lisbon Portela Airport,38.7809542,-9.131900592219496,374,http://www.ana.pt/en-US/Aeroportos/lisboa/Lisboa/Pages/HomeLisboa.aspx,Europe/Lisbon,LIS,PT,Moscavide,Lisbon,Loures,AP,Azul
MAD,LEMD,Adolfo Suarez Madrid-Barajas Airport,40.4948384,-3.5740806206811317,1955,http://www.aena.es/en/passengers/passengers.html,Europe/Madrid,MAD,ES,Barajas de Madrid,Madrid,Provincia de Madrid,AP,Azul
MBZ,SWMW,Maues,-3.36992465,-57.72495510284816,59,,America/Manaus,MBZ,BR,Maues,Amazonas,Maues,AP,Azul
MEU,SBMD,Monte Dourado,-0.8896558000000001,-52.60197779839184,649,,America/Santarem,MEU,BR,Almeirim,Para,Almeirim,AP,Azul
MII,SBML,Dr Gastao Vidigal Airport,-22.2,-49.933334,2014,,America/Sao_Paulo,MII,BR,Marilia,Sao Paulo,Marilia,AP,Azul
MNX,SBMY,Manicore,-5.81173955,-61.27874196726444,98,,America/Manaus,MNX,BR,Manicore,Amazonas,Manicore,AP,Azul
OAL,SSKW,Cacoal Airport,-11.433889,-61.4825,597,,America/Porto_Velho,OAL,BR,Cacoal,Rondonia,Cacoal,AP,Azul
OIA,SDOW,Ourilandia,-6.76392515,-51.047096751155294,856,,America/Belem,OIA,BR,,,,AP,Azul
OPP,SNSM,Salinópolis Airport,-0.696944,-47.337778,89,,America/Belem,OPP,BR,Salinópolis,,,AP,Azul
ORY,LFPO,Paris Orly Airport,48.748477050000005,2.35572229362018,301,http://www.adp.fr,Europe/Paris,PAR,FR,Paray-Vieille-Poste,Ile-de-France,Departement de l'Essonne,AP,Azul
PDP,SULS,Capitan de Corbeta Carlos A. Curbelo International Airport,-34.914444,-54.919167,39,http://www.puntadeleste.aero/,America/Montevideo,PDP,UY,Maldonado,Maldonado,,AP,Azul
PIN,SWPI,Parintins,-2.6731800000000003,-56.77727067382461,36,,America/Manaus,PIN,BR,Parintins,Amazonas,Parintins,AP,Azul
PMG,SBPP,International,-22.55,-55.7,2119,,America/Campo_Grande,PMG,BR,Ponta Pora,Mato Grosso do Sul,Ponta Pora,AP,Azul
POJ,SNPD,Patos De Minas,-18.67291465,-46.4919252194623,2746,,America/Sao_Paulo,QPT,BR,Patos de Minas,Minas Gerais,Patos De Minas,AP,Azul
PTO,SBPO,Pato Branco,-26.2169937,-52.694225841764215,2687,,America/Sao_Paulo,PTO,BR,Pato Branco,Parana,Pato Branco,AP,Azul
PTQ,SNMZ,Porto de Moz,-1.74273455,-52.237087731100814,26,,America/Belem,PTQ,BR,Porto de Moz,Para,Porto De Moz,AP,Azul
PYT,SNZR,Pedro Rabelo de Souza Airport,-17.242778,-46.883056,2398,,America/Sao_Paulo,PYT,BR,Paracatu,,,AP,Azul
QGP,SNGN,Garanhuns Airport,-8.834444,-36.471389,2533,,America/Recife,QGP,BR,Garanhuns,,,AP,Azul
RBB,SWBR,Borba,-4.40582015,-59.60435028003239,88,,America/Manaus,RBB,BR,Borba,Amazonas,Borba,AP,Azul
RIA,SBSM,Santa Maria Airport,-29.710556,-53.6875,285,,America/Sao_Paulo,RIA,BR,Santa Maria,Rio Grande do Sul,Santa Maria,AP,Azul
ROO,SBRD,Rondonopolis Airport,-16.433332,-54.716667,1085,http://www.rondonopolis.mt.gov.br/orgaos-municipais/aeroporto-municipal-maestro-marinho-franco/,America/Cuiaba,ROO,BR,Rondonopolis,Mato Grosso,Rondonopolis,AP,Azul
RRJ,SBJR,Jacarepaguá Airport,-22.98641695,-43.37144946439823,45,https://www4.infraero.gov.br/aeroportos/aeroporto-de-jacarepagua-roberto-marinho/,America/Sao_Paulo,RRJ,BR,Rio de Janeiro,,,AP,Azul
SET,,San Esteban,15.316667,-85.86667,2910,,America/Tegucigalpa,SET,HN,San Esteban,Olancho,,AP,Azul
SJL,SBUA,Da Cachoeira,-0.1483109,-66.98557275279653,239,,America/Manaus,SJL,BR,Sao Gabriel da Cachoeira,Amazonas,Sao Gabriel Da Cachoeira,AP,Azul
SMT,SBSO,Sun Moon Lake,23.883333,120.933334,2355,,Asia/Taipei,SMT,TW,Puli,Taiwan,Nantou,AP,Azul
TBT,SBTT,Tabatinga International Airport,-4.233333,-69.933334,279,,America/Manaus,TBT,BR,Tabatinga,Amazonas,Tabatinga,AP,Azul
TEC,SSVL,Telemaco Borba,-24.31767995,-50.65176291354726,2610,,America/Sao_Paulo,TEC,BR,Telemaco Borba,Parana,Telemaco Borba,AP,Azul
TFF,SBTF,Tefe Airport,-3.3824045,-64.72460759140549,188,,America/Manaus,TFF,BR,Tefe,Amazonas,Tefe,AP,Azul
TFL,SNTO,Teofilo Otoni,-17.85,-41.5,1572,,America/Sao_Paulo,TFL,BR,Teofilo Otoni,Minas Gerais,Teofilo Otoni,AP,Azul
TMT,SBTB,Trombetas,-1.916667,-55.583332,287,,America/Santarem,TMT,BR,Abidos,Para,Obidos,AP,Azul
TUR,SBTU,Tucurui,-3.7,-49.733334,830,,America/Belem,TUR,BR,Tucurui,Para,Tucurui,AP,Azul
UBA,SBUR,Uberaba Airport,-19.776388,-47.958332,2655,,America/Sao_Paulo,UBA,BR,Uberaba,Minas Gerais,Uberaba,AP,Azul
UDI,SBUL,Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport,-18.9,-48.233334,3094,,America/Sao_Paulo,UDI,BR,Uberlandia,Minas Gerais,Uberlandia,AP,Azul
UMU,SSUM,Ernesto Geisel,-23.798332,-53.31333,1558,,America/Sao_Paulo,UMU,BR,Umuarama,Parana,Umuarama,AP,Azul
UNA,SBTC,Una,-15.353333,-38.997223,20,,America/Bahia,UNA,BR,Una,Bahia,Una,AP,Azul
URG,SBUG,Ruben Berta Airport,-29.781668,-57.038334,256,,America/Sao_Paulo,URG,BR,Uruguaiana,Rio Grande do Sul,Uruguaiana,AP,Azul
UVI,,União da Vitória Airport,-26.231667,-51.068889,2437,,America/Sao_Paulo,UVI,BR,Porto Uniao,Santa Catarina,Porto Uniao,AP,Azul
VAG,SBVG,Major-Brigadeiro Trompowsky Airport,-21.55,-45.433334,2870,,America/Sao_Paulo,VAG,BR,Varginha,Minas Gerais,Varginha,AP,Azul
VDC,SBVC,Vitoria Da Conquista Airport,-14.86450825,-40.862788613186495,2916,,America/Bahia,VDC,BR,Vitoria da Conquista,Bahia,Vitoria Da Conquista,AP,Azul
VIX,SBVT,Eurico de Aguiar Salles Airport,-20.256092950000003,-40.28135718192593,49,,America/Sao_Paulo,VIX,BR,Vila Velha,Espirito Santo,Vila Velha,AP,Azul
