origem,destino,tipo,distancia,escalas,caminho_str,origem_pais,destino_pais
JMA,AEP,Azul→Gol,9546.859577524849,2,JMA → VCP → POA → AEP,US,AR
AEP,JMA,Gol→Azul,9546.859577524849,2,AEP → POA → VCP → JMA,AR,US
JMA,EZE,Azul→Gol,9573.329900913672,2,JMA → VCP → POA → EZE,US,AR
EZE,JMA,Gol→Azul,9573.329900913672,2,EZE → POA → VCP → JMA,AR,US
JMA,ROS,Azul→Gol,9632.849648095967,2,JMA → VCP → CGH → ROS,US,AR
ROS,JMA,Gol→Azul,9632.849648095967,2,ROS → CGH → VCP → JMA,AR,US
JMA,VVI,Azul→Gol,9754.301459886305,2,JMA → VCP → GRU → VVI,US,BO
VVI,JMA,Gol→Azul,9754.301459886305,2,VVI → GRU → VCP → JMA,BO,US
JMA,COR,Azul→Gol,9836.38362512309,2,JMA → VCP → CGH → COR,US,AR
COR,JMA,Gol→Azul,9836.383625123091,2,COR → CGH → VCP → JMA,AR,US
FLL,CZS,Azul→Gol,9857.68462828288,2,FLL → CNF → BSB → CZS,US,BR
CZS,FLL,Gol→Azul,9857.68462828288,2,CZS → BSB → CNF → FLL,BR,US
SJL,MIA,Azul→Gol,9987.15202042957,2,SJL → BSB → FOR → MIA,BR,US
MIA,SJL,Gol→Azul,9987.15202042957,2,MIA → FOR → BSB → SJL,US,BR
FLL,BOG,Azul→Gol,10930.337930507472,2,FLL → VCP → GRU → BOG,US,CO
BOG,FLL,Gol→Azul,10930.337930507472,2,BOG → GRU → VCP → FLL,CO,US
FLL,AUA,Azul→Gol,11340.59806464679,2,FLL → VCP → GRU → AUA,US,AW
AUA,FLL,Gol→Azul,11340.59806464679,2,AUA → GRU → VCP → FLL,AW,US
JMA,CZS,Azul→Gol,11478.045772790192,2,JMA → VCP → BSB → CZS,US,BR
CZS,JMA,Gol→Azul,11478.045772790194,2,CZS → BSB → VCP → JMA,BR,US
FLL,PUJ,Azul→Gol,11834.93202407999,2,FLL → VCP → GRU → PUJ,US,DO
PUJ,FLL,Gol→Azul,11834.93202407999,2,PUJ → GRU → VCP → FLL,DO,US
JMA,BOG,Azul→Gol,12242.138628958068,2,JMA → VCP → GRU → BOG,US,CO
BOG,JMA,Gol→Azul,12242.138628958068,2,BOG → GRU → VCP → JMA,CO,US
JMA,AUA,Azul→Gol,12652.398763097386,2,JMA → VCP → GRU → AUA,US,AW
AUA,JMA,Gol→Azul,12652.398763097386,2,AUA → GRU → VCP → JMA,AW,US
JMA,PUJ,Azul→Gol,13146.732722530583,2,JMA → VCP → GRU → PUJ,US,DO
PUJ,JMA,Gol→Azul,13146.732722530583,2,PUJ → GRU → VCP → JMA,DO,US
FLL,MIA,Azul→Gol,13167.882158488508,2,FLL → VCP → GRU → MIA,US,US
MIA,FLL,Gol→Azul,13167.882158488508,2,MIA → GRU → VCP → FLL,US,US
JMA,MIA,Azul→Gol,14479.682856939104,2,JMA → VCP → GRU → MIA,US,US
MIA,JMA,Gol→Azul,14479.682856939104,2,MIA → GRU → VCP → JMA,US,US
