origem,destino,tipo,distancia,escalas,caminho_str,origem_pais,destino_pais
MII,BOG,Azul→Gol,4718.746725726865,2,MII → VCP → GRU → BOG,BR,CO
BOG,MII,Gol→Azul,4718.746725726865,2,BOG → GRU → VCP → MII,CO,BR
CIZ,VVI,Azul→Gol,4820.315868809195,2,CIZ → BSB → GRU → VVI,BR,BO
VVI,CIZ,Gol→Azul,4820.315868809195,2,VVI → GRU → BSB → CIZ,BO,BR
CJZ,CZS,Azul→Gol,4892.762702917072,2,CJZ → FOR → BSB → CZS,BR,BR
CZS,CJZ,Gol→Azul,4892.762702917072,2,CZS → BSB → FOR → CJZ,BR,BR
CIZ,COR,Azul→Gol,4918.128584194714,2,CIZ → BSB → CGH → COR,BR,AR
COR,CIZ,Gol→Azul,4918.128584194714,2,COR → CGH → BSB → CIZ,AR,BR
DIQ,BOG,Azul→Gol,4944.394458893493,2,DIQ → CNF → GRU → BOG,BR,CO
BOG,DIQ,Gol→Azul,4944.394458893493,2,BOG → GRU → CNF → DIQ,CO,BR
CIZ,CZS,Azul→Gol,4974.989727045682,1,CIZ → BSB → CZS,BR,BR
CZS,CIZ,Gol→Azul,4974.989727045682,1,CZS → BSB → CIZ,BR,BR
IPN,BOG,Azul→Gol,4983.224460543859,2,IPN → CNF → GRU → BOG,BR,CO
BOG,IPN,Gol→Azul,4983.224460543859,2,BOG → GRU → CNF → IPN,CO,BR
AQA,AUA,Azul→Gol,4995.7348276677885,2,AQA → VCP → GRU → AUA,BR,AW
AUA,AQA,Gol→Azul,4995.7348276677885,2,AUA → GRU → VCP → AQA,AW,BR
AUA,JTC,Gol→Azul,5048.56233219112,2,AUA → GRU → VCP → JTC,AW,BR
JTC,AUA,Azul→Gol,5048.562332191121,2,JTC → VCP → GRU → AUA,BR,AW
FRC,AUA,Azul→Gol,5103.353145165939,2,FRC → VCP → GRU → AUA,BR,AW
AUA,FRC,Gol→Azul,5103.353145165939,2,AUA → GRU → VCP → FRC,AW,BR
CZS,PDP,Gol→Azul,5112.546772978706,2,CZS → BSB → POA → PDP,BR,UY
PDP,CZS,Azul→Gol,5112.546772978707,2,PDP → POA → BSB → CZS,UY,BR
POJ,BOG,Azul→Gol,5117.915342829476,2,POJ → CNF → GRU → BOG,BR,CO
BOG,POJ,Gol→Azul,5117.915342829476,2,BOG → GRU → CNF → POJ,CO,BR
MII,AUA,Azul→Gol,5129.006859866184,2,MII → VCP → GRU → AUA,BR,AW
AUA,MII,Gol→Azul,5129.006859866184,2,AUA → GRU → VCP → MII,AW,BR
UMU,BOG,Azul→Gol,5154.906555255362,3,UMU → CWB → CGH → GRU → BOG,BR,CO
BOG,UMU,Gol→Azul,5154.906555255362,3,BOG → GRU → CGH → CWB → UMU,CO,BR
SJL,AEP,Azul→Gol,5181.467346588875,2,SJL → BSB → POA → AEP,BR,AR
AEP,SJL,Gol→Azul,5181.467346588875,2,AEP → POA → BSB → SJL,AR,BR
SJL,EZE,Azul→Gol,5207.937669977699,2,SJL → BSB → POA → EZE,BR,AR
EZE,SJL,Gol→Azul,5207.9376699777,2,EZE → POA → BSB → SJL,AR,BR
SJL,ROS,Azul→Gol,5300.663060646085,2,SJL → BSB → POA → ROS,BR,AR
ROS,SJL,Gol→Azul,5300.663060646085,2,ROS → POA → BSB → SJL,AR,BR
DIQ,AUA,Azul→Gol,5354.654593032811,2,DIQ → CNF → GRU → AUA,BR,AW
AUA,DIQ,Gol→Azul,5354.654593032811,2,AUA → GRU → CNF → DIQ,AW,BR
IPN,AUA,Azul→Gol,5393.484594683177,2,IPN → CNF → GRU → AUA,BR,AW
AUA,IPN,Gol→Azul,5393.484594683177,2,AUA → GRU → CNF → IPN,AW,BR
SJL,VVI,Azul→Gol,5429.527455504511,2,SJL → BSB → GRU → VVI,BR,BO
VVI,SJL,Gol→Azul,5429.527455504511,2,VVI → GRU → BSB → SJL,BO,BR
AQA,PUJ,Azul→Gol,5490.068787100989,2,AQA → VCP → GRU → PUJ,BR,DO
PUJ,AQA,Gol→Azul,5490.068787100989,2,PUJ → GRU → VCP → AQA,DO,BR
SJL,COR,Azul→Gol,5527.34017089003,2,SJL → BSB → CGH → COR,BR,AR
COR,SJL,Gol→Azul,5527.34017089003,2,COR → CGH → BSB → SJL,AR,BR
POJ,AUA,Azul→Gol,5528.175476968794,2,POJ → CNF → GRU → AUA,BR,AW
AUA,POJ,Gol→Azul,5528.175476968794,2,AUA → GRU → CNF → POJ,AW,BR
PUJ,JTC,Gol→Azul,5542.89629162432,2,PUJ → GRU → VCP → JTC,DO,BR
JTC,PUJ,Azul→Gol,5542.896291624321,2,JTC → VCP → GRU → PUJ,BR,DO
UMU,AUA,Azul→Gol,5565.16668939468,3,UMU → CWB → CGH → GRU → AUA,BR,AW
AUA,UMU,Gol→Azul,5565.16668939468,3,AUA → GRU → CGH → CWB → UMU,AW,BR
SJL,CZS,Azul→Gol,5584.201313740998,1,SJL → BSB → CZS,BR,BR
CZS,SJL,Gol→Azul,5584.201313740998,1,CZS → BSB → SJL,BR,BR
FRC,PUJ,Azul→Gol,5597.687104599139,2,FRC → VCP → GRU → PUJ,BR,DO
PUJ,FRC,Gol→Azul,5597.687104599139,2,PUJ → GRU → VCP → FRC,DO,BR
MII,PUJ,Azul→Gol,5623.340819299384,2,MII → VCP → GRU → PUJ,BR,DO
PUJ,MII,Gol→Azul,5623.340819299384,2,PUJ → GRU → VCP → MII,DO,BR
AEP,MEU,Gol→Azul,5633.004747325066,2,AEP → CGH → FOR → MEU,AR,BR
MEU,AEP,Azul→Gol,5633.004747325067,2,MEU → FOR → CGH → AEP,BR,AR
MEU,BOG,Azul→Gol,5661.284988272361,1,MEU → FOR → BOG,BR,CO
BOG,MEU,Gol→Azul,5661.284988272361,1,BOG → FOR → MEU,CO,BR
MEU,EZE,Azul→Gol,5661.716198755565,2,MEU → FOR → CGH → EZE,BR,AR
EZE,MEU,Gol→Azul,5661.716198755565,2,EZE → CGH → FOR → MEU,AR,BR
ROS,MEU,Gol→Azul,5692.109059595486,2,ROS → CGH → FOR → MEU,AR,BR
MEU,ROS,Azul→Gol,5692.109059595487,2,MEU → FOR → CGH → ROS,BR,AR
VVI,MEU,Gol→Azul,5789.130885079446,2,VVI → GRU → FOR → MEU,BO,BR
MEU,VVI,Azul→Gol,5789.130885079447,2,MEU → FOR → GRU → VVI,BR,BO
DIQ,PUJ,Azul→Gol,5848.988552466011,2,DIQ → CNF → GRU → PUJ,BR,DO
PUJ,DIQ,Gol→Azul,5848.988552466011,2,PUJ → GRU → CNF → DIQ,DO,BR
BOG,PDP,Gol→Azul,5850.802836662296,2,BOG → GRU → POA → PDP,CO,UY
PDP,BOG,Azul→Gol,5850.802836662297,2,PDP → POA → GRU → BOG,UY,CO
IPN,PUJ,Azul→Gol,5887.818554116377,2,IPN → CNF → GRU → PUJ,BR,DO
PUJ,IPN,Gol→Azul,5887.8185541163775,2,PUJ → GRU → CNF → IPN,DO,BR
COR,MEU,Gol→Azul,5895.541598883164,2,COR → GRU → FOR → MEU,AR,BR
MEU,COR,Azul→Gol,5895.541598883165,2,MEU → FOR → GRU → COR,BR,AR
CJZ,MIA,Azul→Gol,5914.670032240563,1,CJZ → FOR → MIA,BR,US
MIA,CJZ,Gol→Azul,5914.670032240563,1,MIA → FOR → CJZ,US,BR
POJ,PUJ,Azul→Gol,6022.509436401994,2,POJ → CNF → GRU → PUJ,BR,DO
PUJ,POJ,Gol→Azul,6022.509436401994,2,PUJ → GRU → CNF → POJ,DO,BR
UMU,PUJ,Azul→Gol,6059.5006488278805,3,UMU → CWB → CGH → GRU → PUJ,BR,DO
PUJ,UMU,Gol→Azul,6059.5006488278805,3,PUJ → GRU → CGH → CWB → UMU,DO,BR
UNA,BOG,Azul→Gol,6068.35862870138,2,UNA → SSA → GRU → BOG,BR,CO
BOG,UNA,Gol→Azul,6068.35862870138,2,BOG → GRU → SSA → UNA,CO,BR
MEU,CZS,Azul→Gol,6142.30317233619,2,MEU → FOR → BSB → CZS,BR,BR
CZS,MEU,Gol→Azul,6142.30317233619,2,CZS → BSB → FOR → MEU,BR,BR
OIA,BOG,Azul→Gol,6258.9443519369925,2,OIA → BSB → GRU → BOG,BR,CO
BOG,OIA,Gol→Azul,6258.9443519369925,2,BOG → GRU → BSB → OIA,CO,BR
AUA,PDP,Gol→Azul,6261.062970801614,2,AUA → GRU → POA → PDP,AW,UY
PDP,AUA,Azul→Gol,6261.062970801615,2,PDP → POA → GRU → AUA,UY,AW
UNA,AUA,Azul→Gol,6478.618762840699,2,UNA → SSA → GRU → AUA,BR,AW
AUA,UNA,Gol→Azul,6478.618762840699,2,AUA → GRU → SSA → UNA,AW,BR
QGP,BOG,Azul→Gol,6625.001345883139,2,QGP → REC → GRU → BOG,BR,CO
BOG,QGP,Gol→Azul,6625.001345883139,2,BOG → GRU → REC → QGP,CO,BR
OIA,AUA,Azul→Gol,6669.204486076311,2,OIA → BSB → GRU → AUA,BR,AW
AUA,OIA,Gol→Azul,6669.204486076311,2,AUA → GRU → BSB → OIA,AW,BR
BOG,OAL,Gol→Azul,6736.765352972555,2,BOG → GRU → BSB → OAL,CO,BR
OAL,BOG,Azul→Gol,6736.765352972556,2,OAL → BSB → GRU → BOG,BR,CO
ITB,BOG,Azul→Gol,6751.708130658406,2,ITB → BSB → GRU → BOG,BR,CO
BOG,ITB,Gol→Azul,6751.708130658406,2,BOG → GRU → BSB → ITB,CO,BR
PDP,PUJ,Azul→Gol,6755.396930234814,2,PDP → POA → GRU → PUJ,UY,DO
PUJ,PDP,Gol→Azul,6755.396930234814,2,PUJ → GRU → POA → PDP,DO,UY
AQA,MIA,Azul→Gol,6823.018921509507,2,AQA → VCP → GRU → MIA,BR,US
MIA,AQA,Gol→Azul,6823.018921509507,2,MIA → GRU → VCP → AQA,US,BR
MIA,JTC,Gol→Azul,6875.846426032838,2,MIA → GRU → VCP → JTC,US,BR
JTC,MIA,Azul→Gol,6875.846426032839,2,JTC → VCP → GRU → MIA,BR,US
FRC,MIA,Azul→Gol,6930.637239007658,2,FRC → VCP → GRU → MIA,BR,US
MIA,FRC,Gol→Azul,6930.637239007658,2,MIA → GRU → VCP → FRC,US,BR
MII,MIA,Azul→Gol,6956.290953707902,2,MII → VCP → GRU → MIA,BR,US
MIA,MII,Gol→Azul,6956.290953707902,2,MIA → GRU → VCP → MII,US,BR
PUJ,UNA,Gol→Azul,6972.952722273899,2,PUJ → GRU → SSA → UNA,DO,BR
UNA,PUJ,Azul→Gol,6972.9527222739,2,UNA → SSA → GRU → PUJ,BR,DO
QGP,AUA,Azul→Gol,7035.261480022457,2,QGP → REC → GRU → AUA,BR,AW
AUA,QGP,Gol→Azul,7035.261480022457,2,AUA → GRU → REC → QGP,AW,BR
AUA,OAL,Gol→Azul,7147.025487111873,2,AUA → GRU → BSB → OAL,AW,BR
