origem,destino,tipo,distancia,escalas,caminho_str
CZS,OAL,Gol→Azul,4403.602042137278,1,CZS → BSB → OAL
CJZ,BOG,Azul→Gol,4411.744518853243,1,CJZ → FOR → BOG
BOG,CJZ,Gol→Azul,4411.744518853243,1,BOG → FOR → CJZ
CJZ,EZE,Azul→Gol,4412.175729336446,2,CJZ → FOR → CGH → EZE
EZE,CJZ,Gol→Azul,4412.175729336446,2,EZE → CGH → FOR → CJZ
ITB,CZS,Azul→Gol,4418.544819823129,1,ITB → BSB → CZS
CZS,ITB,Gol→Azul,4418.544819823129,1,CZS → BSB → ITB
ROS,CJZ,Gol→Azul,4442.568590176367,2,ROS → CGH → FOR → CJZ
CJZ,ROS,Azul→Gol,4442.568590176368,2,CJZ → FOR → CGH → ROS
VVI,CJZ,Gol→Azul,4539.590415660327,2,VVI → GRU → FOR → CJZ
CJZ,VVI,Azul→Gol,4539.590415660328,2,CJZ → FOR → GRU → VVI
CIZ,AEP,Azul→Gol,4572.25575989356,2,CIZ → BSB → POA → AEP
AEP,CIZ,Gol→Azul,4572.25575989356,2,AEP → POA → BSB → CIZ
AQA,BOG,Azul→Gol,4585.47469352847,2,AQA → VCP → GRU → BOG
BOG,AQA,Gol→Azul,4585.47469352847,2,BOG → GRU → VCP → AQA
CIZ,EZE,Azul→Gol,4598.726083282384,2,CIZ → BSB → POA → EZE
EZE,CIZ,Gol→Azul,4598.726083282384,2,EZE → POA → BSB → CIZ
BOG,JTC,Gol→Azul,4638.3021980518015,2,BOG → GRU → VCP → JTC
JTC,BOG,Azul→Gol,4638.302198051802,2,JTC → VCP → GRU → BOG
COR,CJZ,Gol→Azul,4646.001129464045,2,COR → GRU → FOR → CJZ
CJZ,COR,Azul→Gol,4646.001129464046,2,CJZ → FOR → GRU → COR
ROS,CIZ,Gol→Azul,4691.451473950769,2,ROS → POA → BSB → CIZ
CIZ,ROS,Azul→Gol,4691.4514739507695,2,CIZ → BSB → POA → ROS
FRC,BOG,Azul→Gol,4693.093011026621,2,FRC → VCP → GRU → BOG
BOG,FRC,Gol→Azul,4693.093011026621,2,BOG → GRU → VCP → FRC
QGP,CZS,Azul→Gol,4698.155729454789,2,QGP → REC → BSB → CZS
CZS,QGP,Gol→Azul,4698.155729454789,2,CZS → BSB → REC → QGP
MII,BOG,Azul→Gol,4718.746725726865,2,MII → VCP → GRU → BOG
BOG,MII,Gol→Azul,4718.746725726865,2,BOG → GRU → VCP → MII
CIZ,VVI,Azul→Gol,4820.315868809195,2,CIZ → BSB → GRU → VVI
VVI,CIZ,Gol→Azul,4820.315868809195,2,VVI → GRU → BSB → CIZ
CJZ,CZS,Azul→Gol,4892.762702917072,2,CJZ → FOR → BSB → CZS
CZS,CJZ,Gol→Azul,4892.762702917072,2,CZS → BSB → FOR → CJZ
CIZ,COR,Azul→Gol,4918.128584194714,2,CIZ → BSB → CGH → COR
COR,CIZ,Gol→Azul,4918.128584194714,2,COR → CGH → BSB → CIZ
DIQ,BOG,Azul→Gol,4944.394458893493,2,DIQ → CNF → GRU → BOG
BOG,DIQ,Gol→Azul,4944.394458893493,2,BOG → GRU → CNF → DIQ
CIZ,CZS,Azul→Gol,4974.989727045682,1,CIZ → BSB → CZS
CZS,CIZ,Gol→Azul,4974.989727045682,1,CZS → BSB → CIZ
IPN,BOG,Azul→Gol,4983.224460543859,2,IPN → CNF → GRU → BOG
BOG,IPN,Gol→Azul,4983.224460543859,2,BOG → GRU → CNF → IPN
AQA,AUA,Azul→Gol,4995.7348276677885,2,AQA → VCP → GRU → AUA
AUA,AQA,Gol→Azul,4995.7348276677885,2,AUA → GRU → VCP → AQA
AUA,JTC,Gol→Azul,5048.56233219112,2,AUA → GRU → VCP → JTC
JTC,AUA,Azul→Gol,5048.562332191121,2,JTC → VCP → GRU → AUA
FRC,AUA,Azul→Gol,5103.353145165939,2,FRC → VCP → GRU → AUA
AUA,FRC,Gol→Azul,5103.353145165939,2,AUA → GRU → VCP → FRC
CZS,PDP,Gol→Azul,5112.546772978706,2,CZS → BSB → POA → PDP
PDP,CZS,Azul→Gol,5112.546772978707,2,PDP → POA → BSB → CZS
POJ,BOG,Azul→Gol,5117.915342829476,2,POJ → CNF → GRU → BOG
BOG,POJ,Gol→Azul,5117.915342829476,2,BOG → GRU → CNF → POJ
MII,AUA,Azul→Gol,5129.006859866184,2,MII → VCP → GRU → AUA
AUA,MII,Gol→Azul,5129.006859866184,2,AUA → GRU → VCP → MII
UMU,BOG,Azul→Gol,5154.906555255362,3,UMU → CWB → CGH → GRU → BOG
BOG,UMU,Gol→Azul,5154.906555255362,3,BOG → GRU → CGH → CWB → UMU
SJL,AEP,Azul→Gol,5181.467346588875,2,SJL → BSB → POA → AEP
AEP,SJL,Gol→Azul,5181.467346588875,2,AEP → POA → BSB → SJL
SJL,EZE,Azul→Gol,5207.937669977699,2,SJL → BSB → POA → EZE
EZE,SJL,Gol→Azul,5207.9376699777,2,EZE → POA → BSB → SJL
SJL,ROS,Azul→Gol,5300.663060646085,2,SJL → BSB → POA → ROS
ROS,SJL,Gol→Azul,5300.663060646085,2,ROS → POA → BSB → SJL
DIQ,AUA,Azul→Gol,5354.654593032811,2,DIQ → CNF → GRU → AUA
AUA,DIQ,Gol→Azul,5354.654593032811,2,AUA → GRU → CNF → DIQ
IPN,AUA,Azul→Gol,5393.484594683177,2,IPN → CNF → GRU → AUA
AUA,IPN,Gol→Azul,5393.484594683177,2,AUA → GRU → CNF → IPN
SJL,VVI,Azul→Gol,5429.527455504511,2,SJL → BSB → GRU → VVI
VVI,SJL,Gol→Azul,5429.527455504511,2,VVI → GRU → BSB → SJL
AQA,PUJ,Azul→Gol,5490.068787100989,2,AQA → VCP → GRU → PUJ
PUJ,AQA,Gol→Azul,5490.068787100989,2,PUJ → GRU → VCP → AQA
SJL,COR,Azul→Gol,5527.34017089003,2,SJL → BSB → CGH → COR
COR,SJL,Gol→Azul,5527.34017089003,2,COR → CGH → BSB → SJL
POJ,AUA,Azul→Gol,5528.175476968794,2,POJ → CNF → GRU → AUA
AUA,POJ,Gol→Azul,5528.175476968794,2,AUA → GRU → CNF → POJ
PUJ,JTC,Gol→Azul,5542.89629162432,2,PUJ → GRU → VCP → JTC
JTC,PUJ,Azul→Gol,5542.896291624321,2,JTC → VCP → GRU → PUJ
UMU,AUA,Azul→Gol,5565.16668939468,3,UMU → CWB → CGH → GRU → AUA
AUA,UMU,Gol→Azul,5565.16668939468,3,AUA → GRU → CGH → CWB → UMU
SJL,CZS,Azul→Gol,5584.201313740998,1,SJL → BSB → CZS
CZS,SJL,Gol→Azul,5584.201313740998,1,CZS → BSB → SJL
FRC,PUJ,Azul→Gol,5597.687104599139,2,FRC → VCP → GRU → PUJ
PUJ,FRC,Gol→Azul,5597.687104599139,2,PUJ → GRU → VCP → FRC
MII,PUJ,Azul→Gol,5623.340819299384,2,MII → VCP → GRU → PUJ
PUJ,MII,Gol→Azul,5623.340819299384,2,PUJ → GRU → VCP → MII
AEP,MEU,Gol→Azul,5633.004747325066,2,AEP → CGH → FOR → MEU
MEU,AEP,Azul→Gol,5633.004747325067,2,MEU → FOR → CGH → AEP
MEU,BOG,Azul→Gol,5661.284988272361,1,MEU → FOR → BOG
BOG,MEU,Gol→Azul,5661.284988272361,1,BOG → FOR → MEU
MEU,EZE,Azul→Gol,5661.716198755565,2,MEU → FOR → CGH → EZE
EZE,MEU,Gol→Azul,5661.716198755565,2,EZE → CGH → FOR → MEU
ROS,MEU,Gol→Azul,5692.109059595486,2,ROS → CGH → FOR → MEU
MEU,ROS,Azul→Gol,5692.1090595954865,2,MEU → FOR → CGH → ROS
VVI,MEU,Gol→Azul,5789.130885079446,2,VVI → GRU → FOR → MEU
MEU,VVI,Azul→Gol,5789.130885079447,2,MEU → FOR → GRU → VVI
DIQ,PUJ,Azul→Gol,5848.988552466011,2,DIQ → CNF → GRU → PUJ
PUJ,DIQ,Gol→Azul,5848.988552466011,2,PUJ → GRU → CNF → DIQ
BOG,PDP,Gol→Azul,5850.802836662296,2,BOG → GRU → POA → PDP
PDP,BOG,Azul→Gol,5850.802836662297,2,PDP → POA → GRU → BOG
IPN,PUJ,Azul→Gol,5887.818554116377,2,IPN → CNF → GRU → PUJ
PUJ,IPN,Gol→Azul,5887.8185541163775,2,PUJ → GRU → CNF → IPN
COR,MEU,Gol→Azul,5895.541598883164,2,COR → GRU → FOR → MEU
MEU,COR,Azul→Gol,5895.541598883165,2,MEU → FOR → GRU → COR
CJZ,MIA,Azul→Gol,5914.670032240563,1,CJZ → FOR → MIA
MIA,CJZ,Gol→Azul,5914.670032240563,1,MIA → FOR → CJZ
POJ,PUJ,Azul→Gol,6022.509436401994,2,POJ → CNF → GRU → PUJ
PUJ,POJ,Gol→Azul,6022.509436401994,2,PUJ → GRU → CNF → POJ
UMU,PUJ,Azul→Gol,6059.5006488278805,3,UMU → CWB → CGH → GRU → PUJ
PUJ,UMU,Gol→Azul,6059.5006488278805,3,PUJ → GRU → CGH → CWB → UMU
