,AEP,GRU,CGH,POA,AJU,SSA,ARU,VCP,ASU,AUA,BEL,FOR,BOG,BPS,BRC,BSB,BVB,CGB,CKS,CLV,CZS,GYN,MAB,MAO,OPS,PMW,PVH,RBR,STM,CNF,GIG,SDU,CWB,REC,AFL,AIR,ATM,BPG,BRA,BVH,CIZ,CMG,ERN,IRZ,ITB,JPR,LBR,MBZ,MNX,OAL,OIA,PIN,PYT,RBB,ROO,SJL,TBT,TFF,TMT,UDI,BYO,CAC,JOI,NVT,COR,EZE,MDZ,MVD,ROS,CGR,MOC,AAX,DIQ,GVR,IAL,IPN,POJ,TFL,VIX,FLL,LIS,MAD,MCO,ORY,CPV,CUN,FLN,GGJ,GPB,IGU,LDB,MGF,PMG,PPB,PTO,TEC,UMU,UVI,CXJ,FEN,JDO,JJD,MCP,SLZ,THE,MIA,BVS,CJZ,IMP,JAW,JPE,MEU,OPP,PTQ,TUR,GEL,IZA,RRJ,SJK,PUJ,VVI,VAG,IOS,JPA,MCZ,NAT,PET,PFB,PNZ,XAP,RIA,URG,PDP,RAO,CAU,JPO,QGP,SJP,GNM,LEC,UNA,VDC,AQA,BAT,FRC,JTC,MII,UBA,CUR,JMA,LHN,SET,SMT
LDB,1773.808697006145,492.8747743254603,494.8478362729587,924.7112405581447,2122.1092028935864,1867.6973044811448,806.8620010368932,410.0471434303355,1491.2999490420807,5238.813552800754,3875.3122649135094,2739.5928236392488,4828.553418661436,2268.1606822954805,3108.7208296602294,1207.4356428608457,3716.0494348004054,2086.148877037125,2315.7411217743906,1426.414845365805,4064.4605624935616,1371.3286562218673,2383.5468994449175,3156.8894054779657,2146.768482360182,1835.290668213735,3116.987599719856,3459.1391660086147,2882.1481278726847,908.6986248143317,808.3625735907964,817.4341568367336,315.37195436053196,2516.832324064961,2318.328148112373,2597.7871873889717,2693.114305091055,1686.426075776752,1732.6271412495726,2567.0472339970547,3325.4004502738117,2299.65082266286,3813.6812218656123,3753.0099309898033,2768.9555430512582,2813.5167630041365,3284.8746768566893,2963.804683731867,3044.8089916486906,2754.0127653654076,2276.1917643298452,2966.9503493549746,1395.2163302907684,3012.2523682491437,1936.8818956999048,3934.6120369691275,3939.4701049888067,3511.909973970396,2972.1927343935263,1545.8864756245189,1197.1746631829005,751.6729002082934,401.1826356941145,474.0361165749413,2180.508999058158,1800.279020394969,2625.0902562878246,1629.2819961964428,1893.004411063354,1111.5254107115393,1234.6780647258688,1222.2171588346152,1020.9520828953633,1139.4044080513481,1327.4793822934435,1059.7820845457295,1194.4729668313462,1235.613197361935,1300.2465026468212,6921.878798706707,8338.586359916046,8785.50626957195,7199.670525496221,9777.17946522925,2660.1986112581562,7095.873171776082,561.2561503379145,846.5765932758006,549.7335291125759,848.43585216297,0.0,682.6885597606972,1056.0250856949897,761.5904617666579,675.4377377104528,516.2839234623841,775.6731355991196,520.0360329274736,1013.4863822994336,3066.3218451158436,3129.5520694534393,2963.3608771725994,4195.506766729476,3385.946017243599,3235.278031355103,7066.097646642473,4082.73240227132,3084.808918241064,3746.8200059480796,3217.0070882600526,3717.315034971221,4334.349387660182,3775.2512840411764,4277.450470770593,3981.5145804667104,1272.5678073867175,952.9805053653108,831.0138533580546,539.6426851734709,5733.147512233954,2340.716249589672,728.7851615043082,2092.195141183817,2625.4841591062063,2698.716505533055,2765.0948573268765,1145.8264726771763,1149.6992978956487,2324.074107368939,1278.0590665348648,1169.790135588638,1491.1309196615994,1575.0395978715414,627.9484234185187,2627.0978161570715,2800.637962060088,2704.50289458383,747.5347842797423,2372.6322604390452,2190.855045199391,2148.5001400137276,2216.450640639714,577.0155617277052,719.4363558518105,684.6338792258559,629.8430662510367,710.2875939261,778.9814609458161,4988.194984939857,8233.679497157304,19243.38873256289,6402.141251168038,19205.082444049553
ROS,1817.3906269532097,1751.861116257418,1724.4166015263777,968.2931705052094,3458.1501635026816,3203.73826509024,2206.0321519755585,1809.217294369001,1787.3302209698295,6497.799894732712,5233.0719368488135,4097.352495574552,6087.539760593394,3604.2016429045757,3152.3027596072943,2573.486666537803,5082.100458477363,3452.199900714083,3681.792145451348,2792.4658690427623,5430.511586170519,2737.379679898825,3749.5979231218753,4522.940429154924,3512.81950603714,3201.3416918906923,4483.038623396814,4825.1901896855725,4248.199151549642,2248.323472733903,2083.5819050637488,2090.2386161562067,1577.6324567028223,3853.513247285712,3684.379171789331,3963.8382110659295,4059.165328768013,3052.4770994537093,3098.6781649265304,3933.0982576740125,4691.4514739507695,3665.701846339817,5179.73224554257,5119.060954666761,4135.006566728216,4179.567786681094,4650.925700533647,4329.855707408825,4410.860015325648,4120.063789042365,3642.2427880068026,4333.001373031932,2761.267353967726,4378.3033919261015,3302.9329193768626,5300.663060646085,5305.521128665764,4877.960997647354,4338.243758070484,2911.9374993014762,2459.4351655251908,1573.3711677656831,1663.4431380364047,1736.2966189172316,2224.090929005223,1843.8609503420337,2668.6721862348895,1672.8639261435076,0.0,2373.7859130538295,2574.30291264544,2561.8420067541865,2360.5769308149347,2479.029255970919,2667.1042302130145,2399.4069324653005,2534.0978147509177,2575.238045281506,2639.8713505663923,8321.048949645372,9688.289773628936,10131.43649292629,8598.840676434886,11127.02933295848,3996.8795344789073,8354.859513708041,1331.7482607254396,2108.8370956180906,1811.9940314548662,1556.819458457275,1893.0044110633542,1944.9490621029875,2318.28558803728,2023.850964108948,1937.6982400527431,1778.5444258046743,2037.9336379414099,1782.2965352697638,1057.0683122464984,4403.002768336595,4487.311741388743,4321.120549107904,5553.266438664779,4743.7056891789025,4593.037703290407,8325.083988574432,5440.492074206624,4442.568590176368,5104.579677883383,4574.766760195356,5075.074706906525,5692.1090595954865,5133.010955976481,5635.210142705897,5339.274252402014,1316.1497373337822,2228.1998368382633,2106.233184831007,1798.6290271054286,6992.133854165912,3599.7025915216295,1987.771503436266,3428.2361017929125,3962.1650823269574,4035.3974287538063,4101.775780547628,1189.4084026242408,1193.2812278427134,3660.1150679780344,1321.6409964819295,1213.3720655357026,1534.712849608664,1618.6215278186064,2027.1185743571841,3963.7787393778226,4137.318885280839,4041.183817804581,2146.7049352184076,3708.6732210481405,3526.8960058084863,3484.541100622823,3552.4916012488093,1976.1857126663706,2118.606506790476,2083.8040301645215,2029.0132171897021,2109.4577448647656,2178.1516118844816,6387.365135878523,9632.849648095967,20642.55888350155,7801.311402106703,20604.252594988215
PTO,1818.5025259955337,718.992513030719,691.2014829124815,969.4050695475336,2419.5422382887054,2165.1303398762643,1105.3492504254473,708.5343928188895,1788.4421200121535,5464.931291506014,4173.7995143020635,3038.080073027803,5054.671157366695,2565.5937176906,3153.414658649618,1442.2583647015535,3950.872156641113,2320.9715988778325,2550.5638436150984,1661.2375672065127,4299.283284334269,1606.151378062575,2618.369621285625,3391.7121273186735,2381.59120420089,2070.113390054443,3351.8103215605643,3693.9618878493225,3116.9708497133925,1206.0788564724166,1050.3667864498525,1057.0234975423105,360.0657833499208,2814.4764343553093,2553.1508699530805,2832.60990922968,2927.937026931763,1921.2487976174598,1967.4498630902804,2801.8699558377625,3560.2231721145195,2534.4735445035676,4048.50394370632,3987.832652830511,3003.7782648919665,3048.3394848448443,3519.697398697397,3198.627405572575,3279.631713489399,2988.8354872061154,2511.014486170553,3201.773071195682,1630.0390521314762,3247.0750900898515,2171.704617540612,4169.434758809835,4174.2928268295145,3746.732695811104,3207.015456234234,1780.7091974652267,1241.8684921722893,796.3667291976822,445.87646468350334,518.7299455643301,2225.202828047547,1844.9728493843577,2669.7840852772133,1673.9758251858316,1937.698240052743,1156.2192397009283,1532.0582963839536,1519.5973904927002,1318.3323145534482,1436.784639709433,1624.8596139515282,1357.1623162038143,1491.8531984894312,1532.99342902002,1597.626734304906,7220.366048095261,8637.0736093046,9083.993518960504,7498.157774884775,10075.666714617804,2957.8427215485044,7321.990910481341,605.9499793273034,891.2704222651895,594.4273581019647,893.1296811523589,675.4377377104528,727.3823887500861,1100.7189146843784,806.2842907560466,0.0,560.977752451773,820.3669645885085,564.7298619168625,1058.1802112888224,3363.965955406192,3428.0393188419935,3261.8481265611535,4493.99401611803,3684.433266632153,3533.765280743657,7292.215385347732,4381.219651659874,3383.296167629618,4045.3072553366337,3515.4943376486067,4015.802284359775,4632.8366370487365,4073.7385334297305,4575.937720159147,4280.001829855264,1317.2616363761063,1194.984718224367,1073.0180662171108,765.7604238787297,5959.265250939214,2566.8339882949304,954.902900209567,2389.6281765789367,2923.128269396555,2996.3606158234034,3062.7389676172247,1190.520301666565,1194.3931268850374,2621.5071427640587,1322.7528955242537,1214.4839645780266,1535.824748650988,1619.7334268609304,926.4356728070727,2924.7419264474197,3098.282072350436,3002.147004874178,1046.0220336682964,2670.0652958341648,2488.2880805945106,2445.933175408847,2513.8836760348336,875.5028111162592,1017.9236052403646,983.1211286144099,928.3303156395908,1008.7748433146542,1077.4687103343701,5286.682234328411,8532.166746545856,19541.87598195144,6700.628500556592,19503.569693438105
MGF,1825.7533480457782,574.3249353286407,576.2979972761392,976.655891597778,2203.5593638967666,1949.1474654843253,888.3121620400736,491.4973044335159,1572.750110045261,5320.2637138039345,3956.76242591669,2821.0429846424295,4910.003579664616,2349.6108432986607,3160.6654806998627,1288.8858038640262,3797.499595803586,2167.5990380403055,2397.191282777571,1507.8650063689854,4145.910723496742,1452.7788172250478,2464.9970604480977,3238.3395664811464,2228.218643363363,1916.7408292169152,3198.4377607230367,3540.5893270117954,2963.5982888758654,990.1487858175121,889.8127345939768,898.884317839914,367.31660540016526,2598.282485068142,2399.7783091155534,2679.2373483921524,2774.5644660942357,1767.8762367799325,1814.077302252753,2648.4973950002354,3406.8506112769924,2381.10098366604,3895.131382868793,3834.460091992984,2850.405704054439,2894.966924007317,3366.32483785987,3045.2548447350478,3126.2591526518713,2835.4629263685883,2357.6419253330255,3048.4005103581553,1476.6664912939489,3093.7025292523244,2018.332056703085,4016.0621979723082,4020.9202659919874,3593.360134973577,3053.642895396707,1627.3366366276994,1249.1193142225338,803.6175512479267,453.1272867337478,525.9807676145746,2232.4536500977915,1852.2236714346022,2677.034907327458,1681.2266472360761,1944.9490621029872,1163.4700617511726,1316.128225729049,1303.6673198377957,1102.4022438985437,1220.8545690545284,1408.9295432966237,1141.2322455489098,1275.9231278345267,1317.0633583651154,1381.6966636500015,7003.328959709887,8420.036520919226,8866.95643057513,7281.120686499401,9858.62962623243,2741.648772261337,7177.323332779262,613.2008013775478,898.5212443154339,601.6781801522092,900.3805032026033,682.6885597606972,0.0,1107.969736734623,813.5351128062912,727.3823887500861,568.2285745020174,827.6177866387529,571.9806839671069,1065.4310333390667,3147.7720061190244,3211.00223045662,3044.81103817578,4276.956927732656,3467.3961782467795,3316.7281923582836,7147.547807645653,4164.1825632745,3166.2590792442447,3828.2701669512603,3298.4572492632333,3798.7651959744016,4415.799548663363,3856.701445044357,4358.900631773773,4062.964741469891,1324.5124584263508,1034.4306663684913,912.4640143612351,621.0928461766514,5814.597673237135,2422.166410592852,810.2353225074886,2173.645302186998,2706.934320109387,2780.166666536236,2846.5450183300572,1197.7711237168096,1201.643948935282,2405.5242683721194,1330.003717574498,1221.7347866282712,1543.0755707012327,1626.9842489111747,709.3985844216991,2708.5479771602522,2882.0881230632685,2785.9530555870106,828.9849452829227,2454.082421442226,2272.3052062025713,2229.950301016908,2297.9008016428947,658.4657227308855,800.886516854991,766.0840402290363,711.2932272542172,791.7377549292805,860.4316219489965,5069.645145943037,8315.129658160484,19324.83889356607,6483.5914121712185,19286.532605052733
AQA,1890.1956420952495,249.79604919249445,251.76911113999293,1041.0981856472492,1879.0304777606204,1624.618579348179,563.7832759039273,166.96841829736968,1248.2212239091148,4995.7348276677885,3632.2335397805437,2496.514098506283,4585.47469352847,2025.0819571625145,3179.4238328867614,964.35691772788,3472.9707096674397,1843.0701519041593,2072.6623966414245,1183.3361202328392,3821.381837360596,1128.2499310889016,2140.4681743119518,2913.810680345,1903.6897572272164,1592.211943080769,2873.9088745868903,3216.060440875649,2639.069402739719,665.619899681366,565.2838484578306,574.3554317037679,515.4370277663384,2273.7535989319954,2075.2494229794074,2354.708462256006,2450.0355799580893,1443.3473506437863,1489.5484161166069,2323.968508864089,3082.321725140846,2056.5720975298937,3570.6024967326466,3509.9312058568376,2525.8768179182925,2570.4380378711708,3041.7959517237236,2720.7259585989013,2801.730266515725,2510.934040232442,2033.1130391968793,2723.871624222009,1152.1376051578027,2769.173643116178,1693.803170566939,3691.533311836162,3696.391379855841,3268.8312488374304,2729.1140092605606,1302.8077504915532,1145.4400150179818,951.7379736140998,601.2477090999209,664.9840638458936,2179.719689693493,1916.6659654840735,2643.2830271216294,1738.6914340184726,1976.1857126663706,995.053886538205,991.5993395929029,979.1384337016494,777.8733577623975,896.3256829183822,1084.4006571604775,816.7033594127636,951.3942416983804,992.5344722289692,1057.1677775138553,6678.800073573741,8095.50763478308,8542.427544438982,6956.591800363255,9534.100740096284,2417.1198861251905,6852.794446643116,761.3212237437209,1046.6416666816071,749.7986025183824,1048.5009255687764,577.0155617277052,658.4657227308855,1256.090159100796,620.6834512939755,875.5028111162592,716.3489968681906,975.7382090049261,720.1011063332801,1129.8733273885382,2823.243119982878,2886.4733443204736,2720.2821520396337,3952.4280415965104,3142.867292110633,2992.1993062221372,6823.018921509507,3839.6536771383544,2841.7301931080983,3503.741280815114,2973.928363127087,3474.2363098382552,4091.2706625272167,3532.1725589082107,4034.371745637627,3738.4358553337447,1388.954752475822,709.901780232345,587.9351282250889,296.56396004050515,5490.068787100989,2097.637524456706,485.70643637134236,1849.1164160508515,2382.4054339732406,2455.6377804000895,2522.016132193911,1262.2134177662806,1266.0862429847532,2080.995382235973,1394.4460116239693,1286.1770806777424,1607.517864750704,1690.69556909499,384.8696982855529,2384.019091024106,2557.559236927122,2461.424169450864,504.45605914677645,2129.5535353060795,1947.7763200664251,1905.4214148807616,1973.3719155067483,0.0,476.35763071884475,441.55515409289006,386.7643411180709,467.2088687931343,535.9027358128503,4745.116259806891,7990.600772024337,19000.310007429922,6159.062526035073,18962.003718916585
PPB,1904.6552500517387,536.5426638917306,538.515725839229,1055.5577936037387,2165.7770924598567,1911.3651940474151,850.5298906031635,453.7150329966058,1534.967838608351,5282.481442367025,3918.9801544797797,2783.260713205519,4872.221308227707,2311.828571861751,3239.567382705823,1251.103532427116,3759.7173243666757,2129.8167666033955,2359.409011340661,1470.0827349320753,4108.128452059832,1414.9965457881376,2427.214789011188,3200.557295044236,2190.4363719264525,1878.9585577800053,3160.6554892861263,3502.807055574885,2925.816017438955,952.366514380602,852.0304631570667,861.1020464030039,446.21850740612587,2560.5002136312314,2361.9960376786435,2641.455076955242,2736.7821946573254,1730.0939653430223,1776.295030815843,2610.715123563325,3369.068339840082,2343.31871222913,3857.3491114318826,3796.6778205560736,2812.6234326175286,2857.184652570407,3328.5425664229597,3007.4725732981374,3088.476881214961,2797.680654931678,2319.8596538961156,3010.618238921245,1438.8842198570387,3055.920257815414,1980.5497852661751,3978.279926535398,3983.137994555077,3555.5778635366664,3015.8606239597966,1589.5543651907892,1328.0212162284945,882.5194532538873,532.0291887397084,604.8826696205351,2311.3555521037524,1931.1255734405627,2755.9368093334183,1760.1285492420366,2023.850964108948,1242.3719637571332,1278.3459542921391,1265.8850484008856,1064.6199724616336,1183.0722976176185,1371.1472718597138,1103.4499741119998,1238.1408563976165,1279.2810869282052,1343.9143922130916,6965.546688272978,8382.254249482316,8829.17415913822,7243.338415062492,9820.84735479552,2703.8665008244266,7139.541061342353,692.1027033835084,977.4231463213946,680.5800821581698,979.2824052085639,761.5904617666579,813.5351128062912,1186.8716387405834,0.0,806.2842907560466,647.1304765079781,906.5196886447136,650.8825859730675,1144.3329353450274,3109.989734682114,3173.2199590197097,3007.0287667388698,4239.174656295747,3429.613906809869,3278.9459209213733,7109.7655362087435,4126.400291837591,3128.4768078073344,3790.48789551435,3260.674977826323,3760.9829245374913,4378.017277226453,3818.9191736074467,4321.118360336864,4025.1824700329807,1403.4143604323115,996.6483949315812,874.6817429243249,583.3105747397412,5776.815401800225,2384.384139155942,772.4530510705786,2135.8630307500875,2669.1520486724767,2742.3843950993255,2808.762746893147,1276.67302572277,1280.5458509412426,2367.7419969352095,1408.9056195804587,1300.6366886342319,1621.977472707193,1705.8861509171354,671.616312984789,2670.765705723342,2844.305851626358,2748.1707841501,791.2026738460127,2416.3001500053156,2234.5229347656614,2192.168029579998,2260.1185302059844,620.6834512939755,763.1042454180808,728.3017687921263,673.510955817307,753.9554834923704,822.6493505120865,5031.862874506128,8277.347386723573,19287.05662212916,6445.809140734309,19248.750333615822
UMU,1918.7379238842004,819.2279109193859,791.4368808011484,1069.6404674362004,2519.777636177372,2265.365737764931,1205.584648314114,808.7697907075565,1888.6775179008205,5565.16668939468,4274.03491219073,3138.3154709164696,5154.906555255362,2665.8291155792667,3253.650056538285,1542.4937625902203,4051.10755452978,2421.2069967664997,2650.799241503765,1761.4729650951795,4399.518682222936,1706.3867759512418,2718.6050191742916,3491.9475252073403,2481.8266020895567,2170.3487879431095,3452.045719449231,3794.197285737989,3217.206247602059,1306.3142543610834,1150.6021843385195,1157.2588954309774,460.3011812385877,2914.711832243976,2653.386267841747,2932.8453071183467,3028.1724248204296,2021.4841955061265,2067.685260978947,2902.1053537264293,3660.458570003186,2634.7089423922343,4148.739341594987,4088.068050719178,3104.0136627806332,3148.574882733511,3619.932796586064,3298.8628034612416,3379.8671113780656,3089.070885094782,2611.2498840592198,3302.0084690843487,1730.274450020143,3347.3104879785183,2271.9400154292794,4269.670156698502,4274.528224718181,3846.9680936997706,3307.250854122901,1880.9445953538934,1342.1038900609562,896.6021270863491,546.1118625721703,618.965343452997,2325.438225936214,1945.2082472730244,2770.01948316588,1774.2112230744983,2037.9336379414099,1256.4546375895952,1632.2936942726205,1619.8327883813672,1418.567712442115,1537.0200375980999,1725.0950118401952,1457.3977140924812,1592.088596378098,1633.2288269086866,1697.862132193573,7320.601445983928,8737.309007193267,9184.228916849172,7598.393172773442,10175.902112506472,3058.078119437171,7422.226308370008,706.1853772159702,991.5058201538563,694.6627559906316,993.3650790410258,775.6731355991196,827.6177866387529,1200.9543125730452,906.5196886447136,820.3669645885085,661.2131503404398,0.0,664.9652598055293,1158.4156091774894,3464.2013532948586,3528.27471673066,3362.0835244498203,4594.229414006697,3784.6686645208197,3634.000678632324,7392.450783236399,4481.455049548541,3483.531565518285,4145.5426532253005,3615.7297355372734,4116.037682248442,4733.072034937403,4173.973931318397,4676.173118047814,4380.237227743932,1417.4970342647732,1295.2201161130338,1173.2534641057778,865.9958217673966,6059.5006488278805,2667.069386183597,1055.138298098234,2489.8635744676035,3023.3636672852217,3096.59601371207,3162.9743655058915,1290.7556995552318,1294.6285247737044,2721.7425406527254,1422.9882934129205,1314.7193624666936,1636.0601465396549,1719.9688247495974,1026.6710706957397,3024.9773243360864,3198.5174702391027,3102.382402762845,1146.2574315569632,2770.3006937228315,2588.5234784831773,2546.168573297514,2614.1190739235003,975.738209004926,1118.1590031290316,1083.3565265030768,1028.5657135282577,1109.0102412033211,1177.704108223037,5386.917632217078,8632.402144434524,19642.11137984011,6800.863898445259,19603.805091326773
VAG,1929.013128648257,235.9103871788479,263.7014172970854,1100.706222191771,1942.1994344241116,1687.7875360116702,715.5528756805304,318.7380180739727,1371.2124775327034,4981.849165654142,3718.1626742474095,2582.443232973149,4571.589031514824,2088.2509138260057,3259.1365998955102,1090.419973310865,3599.033765250425,1969.1332074871443,2198.7254522244098,1309.3991758158243,3947.444892943581,1254.3129866718866,2266.5312298949366,3039.8737359279853,2029.7528128102017,1718.274998663754,2999.9719301698756,3342.1234964586342,2765.132458322704,732.3727436553329,572.7415250101049,580.021519139231,594.8371168596461,2337.562518207142,2201.3124785623922,2480.7715178389913,2576.0986355410746,1569.4104062267716,1615.6114716995921,2450.0315644470743,3208.384780723831,2182.635153112879,3696.665552315632,3635.994261439823,2651.939873501278,2696.501093454156,3167.859007306709,2846.7890141818866,2927.79332209871,2636.997095815427,2159.1760947798643,2849.9346798049937,1278.2006607407877,2895.2366986991633,1819.866226149924,3817.596367419147,3822.4544354388263,3394.8943044204157,2855.177064843546,1428.8708060745385,1297.2096147945847,1031.1380627074075,624.2149652894352,676.9163700029861,2190.162576246778,1957.7224474524403,2653.738231964717,1803.5628659515196,1987.771503436266,1146.823486314808,1058.3521835668698,1045.8912776756165,844.6262017363645,963.0785268923491,1151.1535011344445,883.4562033867305,1018.1470856723474,1059.2873162029362,1123.9206214878222,6830.569673350344,8172.3390445503655,8615.48576384772,7103.359366645868,9611.07860387991,2480.9288054003373,6838.90878462947,840.7213128370287,1126.0417557749147,829.19869161169,1127.9010146620842,728.7851615043082,810.2353225074886,1335.4902481941035,772.4530510705786,954.902900209567,795.7490859614983,1055.1382980982337,799.5011954265877,1189.48136393306,2887.0520392580247,2972.4024787873395,2806.2112865064996,4038.3571760633763,3228.796426577499,3078.128440689003,6809.13325949586,3925.5828116052203,2927.659327574964,3589.67041528198,3059.8574975939528,3560.165444305121,4177.199796994082,3618.1016933750766,4120.3008801044925,3824.3649898006106,1448.562789020344,717.3594567846193,595.392804777363,282.6782980268586,5476.183125087342,2083.7518624430595,0.0,1912.2853727143424,2446.2143532483874,2519.4466996752362,2585.8250514690576,1321.8214543108027,1325.6942795292753,2144.1643388994644,1454.0540481684914,1345.7851172222645,1667.125901295226,1751.034579505168,536.6392980621558,2447.8280102992526,2621.368156202269,2525.233088726011,656.2256589233795,2192.7224919695705,2010.9452767299163,1968.5903715442528,2036.5408721702395,485.70643637134236,628.1272304954477,593.3247538694931,538.533940894674,618.9784685697373,687.6723355894534,4896.885859583494,8142.370371800939,19152.079607206524,6310.832125811675,19113.773318693187
RAO,1941.128503786063,300.72891088330795,302.7019728308064,1092.0310473380628,1929.963339451434,1675.5514410389926,614.7161375947409,217.90127998818318,1299.1540855999283,5046.667689358602,3683.166401471357,2547.4469601970964,4636.4075552192835,2076.014818853328,3230.3566945775747,1015.2897794186936,3523.903571358253,1894.0030135949728,2123.5952583322382,1234.2689819236525,3872.314699051409,1179.182792779715,2191.401036002765,2964.7435420358133,1954.62261891803,1643.1448047715826,2924.8417362777036,3266.9933025664623,2690.0022644305323,716.5527613721794,616.2167101486441,625.2882933945813,566.3698894571519,2324.6864606228087,2126.1822846702207,2405.6413239468193,2500.9684416489026,1494.2802123345998,1540.4812778074204,2374.9013705549023,3133.2545868316593,2107.5049592207074,3621.53535842346,3560.864067547651,2576.809679609106,2621.370899561984,3092.728813414537,2771.6588202897146,2852.663128206538,2561.866901923255,2084.045900887693,2774.804485912822,1203.0704668486162,2820.1065048069913,1744.7360322577524,3742.466173526975,3747.3242415466543,3319.7641105282437,2780.046870951374,1353.7406121823667,1196.3728767087953,1002.6708353049133,652.1805707907345,715.9169255367071,2230.6525513843067,1967.598827174887,2694.2158888124427,1789.6242957092861,2027.1185743571841,1045.9867482290185,1042.5322012837164,1030.0712953924628,828.806219453211,947.2585446091957,1135.333518851291,867.6362211035771,1002.3271033891939,1043.4673339197827,1108.1006392046688,6729.732935264555,8146.440496473893,8593.360406129797,7007.524662054068,9585.033601787098,2468.052747816004,6903.72730833393,812.2540854345344,1097.5745283724207,800.7314642091959,1099.43378725959,627.9484234185187,709.3985844216991,1307.0230207916095,671.616312984789,926.4356728070727,767.2818585590041,1026.6710706957397,771.0339680240936,1180.8061890793515,2874.1759816736912,2937.406206011287,2771.215013730447,4003.3609032873237,3193.8001538014464,3043.1321679129505,6873.95178320032,3890.5865388291677,2892.6630547989116,3554.674142505927,3024.8612248179,3525.1691715290685,4142.20352421803,3583.105420599024,4085.3046073284404,3789.368717024558,1439.8876141666356,760.8346419231585,638.8679899159023,347.4968217313186,5541.001648791802,2148.5703861475195,536.6392980621558,1900.049277741665,2433.338295664054,2506.5706420909028,2572.948993884724,1313.1462794570941,1317.0191046755667,2131.9282439267868,1445.3788733147828,1337.109942368556,1658.4507264415174,1741.6284307858036,0.0,2434.951952714919,2608.4920986179354,2512.3570311416775,555.3889208375899,2180.486396996893,1998.7091817572386,1956.3542765715752,2024.3047771975619,384.8696982855529,527.2904924096582,492.48801578370353,437.6972028088844,518.1417304839478,586.8355975036638,4796.049121497705,8041.53363371515,19051.242869120735,6209.995387725886,19012.9365806074
JTC,1943.023146618581,302.623553715826,304.5966156633245,1093.9256901705808,1931.857982283952,1677.4460838715106,616.6107804272589,219.79592282070124,1301.0487284324463,5048.56233219112,3685.0610443038754,2549.341603029615,4638.3021980518015,2077.909461685846,3232.251337410093,1017.1844222512116,3525.7982141907714,1895.8976564274908,2125.4899011647562,1236.1636247561707,3874.2093418839277,1181.077435612233,2193.295678835283,2966.638184868332,1956.517261750548,1645.0394476041006,2926.736379110222,3268.8879453989807,2691.8969072630507,718.4474042046975,618.1113529811621,627.1829362270994,568.26453228967,2326.581103455327,2128.0769275027387,2407.5359667793377,2502.863084481421,1496.1748551671178,1542.3759206399384,2376.7960133874208,3135.1492296641777,2109.3996020532254,3623.4300012559784,3562.7587103801693,2578.7043224416243,2623.2655423945025,3094.6234562470554,2773.553463122233,2854.5577710390567,2563.7615447557737,2085.940543720211,2776.6991287453407,1204.9651096811342,2822.00114763951,1746.6306750902704,3744.3608163594936,3749.218884379173,3321.658753360762,2781.9415137838923,1355.6352550148847,1198.2675195413133,1004.5654781374313,654.0752136232525,717.8115683692251,2232.5471942168247,1969.493470007405,2696.110531644961,1791.5189385418041,2029.0132171897021,1047.8813910615365,1044.4268441162344,1031.965938224981,830.700862285729,949.1531874417137,1137.228161683809,869.5308639360951,1004.2217462217119,1045.3619767523007,1109.9952820371868,6731.627578097073,8148.335139306411,8595.255048962315,7009.419304886586,9586.928244619616,2469.9473906485223,6905.621951166448,814.1487282670524,1099.4691712049387,802.6261070417139,1101.328430092108,629.8430662510367,711.2932272542172,1308.9176636241275,673.510955817307,928.3303156395907,769.1765013915222,1028.5657135282577,772.9286108566116,1182.7008319118697,2876.0706245062097,2939.3008488438054,2773.1096565629655,4005.255546119842,3195.694796633965,3045.026810745469,6875.846426032838,3892.481181661686,2894.55769763143,3556.5687853384457,3026.7558676504186,3527.063814361587,4144.098167050548,3585.0000634315425,4087.199250160959,3791.2633598570765,1441.7822569991536,762.7292847556765,640.7626327484204,349.39146456383673,5542.89629162432,2150.4650289800375,538.533940894674,1901.943920574183,2435.2329384965724,2508.465284923421,2574.8436367172426,1315.0409222896121,1318.9137475080847,2133.8228867593048,1447.2735161473008,1339.004585201074,1660.3453692740354,1743.5230736183216,437.6972028088844,2436.8465955474376,2610.386741450454,2514.251673974196,557.283563670108,2182.3810398294113,2000.6038245897566,1958.2489194040932,2026.1994200300799,386.7643411180709,529.1851352421763,494.38265861622165,0.0,520.0363733164659,588.7302403361819,4797.943764330223,8043.428276547668,19053.137511953253,6211.890030558404,19014.831223439916
