origin,destination,origin_city,dest_city,path,path_length,stops,total_distance,direct_distance,efficiency,airlines,segments
NAT,BVH,Governador Alu�zio Alves International Airport,Brigadeiro Camar�o Airport,NAT → BSB → CGB → BVH,4,2,3188.18,2818.31,0.884,"G3, AD","[{'from': 'NAT', 'to': 'BSB', 'airline': 'G3', 'distance': 1770.06}, {'from': 'BSB', 'to': 'CGB', 'airline': 'G3', 'distance': 877.35}, {'from': 'CGB', 'to': 'BVH', 'airline': 'AD', 'distance': 540.77}]"
BVH,NAT,Brigadeiro Camar�o Airport,Governador Alu�zio Alves International Airport,BVH → CGB → BSB → NAT,4,2,3188.18,2818.31,0.884,"G3, AD","[{'from': 'BVH', 'to': 'CGB', 'airline': 'AD', 'distance': 540.77}, {'from': 'CGB', 'to': 'BSB', 'airline': 'G3', 'distance': 877.35}, {'from': 'BSB', 'to': 'NAT', 'airline': 'G3', 'distance': 1770.06}]"
OAL,FEN,Cacoal Airport,Fernando de Noronha Airport,OAL → CGB → REC → FEN,4,2,3739.27,3306.67,0.884,"G3, AD","[{'from': 'OAL', 'to': 'CGB', 'airline': 'AD', 'distance': 738.84}, {'from': 'CGB', 'to': 'REC', 'airline': 'AD', 'distance': 2450.87}, {'from': 'REC', 'to': 'FEN', 'airline': 'G3', 'distance': 549.56}]"
BRA,SCL,Barreiras Airport,Comodoro Arturo Merino Ben�tez International Airport,BRA → BSB → GRU → SCL,4,2,3994.6,3530.31,0.884,"G3, AD","[{'from': 'BRA', 'to': 'BSB', 'airline': 'AD', 'distance': 525.65}, {'from': 'BSB', 'to': 'GRU', 'airline': 'G3', 'distance': 854.87}, {'from': 'GRU', 'to': 'SCL', 'airline': 'G3', 'distance': 2614.08}]"
PFB,PBM,Lauro Kurtz Airport,Johan Adolf Pengel International Airport,PFB → VCP → BEL → PBM,4,2,4254.4,3759.45,0.884,"G3, AD","[{'from': 'PFB', 'to': 'VCP', 'airline': 'AD', 'distance': 780.81}, {'from': 'VCP', 'to': 'BEL', 'airline': 'AD', 'distance': 2409.3}, {'from': 'BEL', 'to': 'PBM', 'airline': 'G3', 'distance': 1064.29}]"
SDQ,PLU,Las Am�ricas International Airport,Pampulha - Carlos Drummond de Andrade Airport,SDQ → GRU → PLU,3,1,5768.67,5097.87,0.884,"G3, AD","[{'from': 'SDQ', 'to': 'GRU', 'airline': 'G3', 'distance': 5292.45}, {'from': 'GRU', 'to': 'PLU', 'airline': 'AD', 'distance': 476.22}]"
PLU,SDQ,Pampulha - Carlos Drummond de Andrade Airport,Las Am�ricas International Airport,PLU → GRU → SDQ,3,1,5768.67,5097.87,0.884,"G3, AD","[{'from': 'PLU', 'to': 'GRU', 'airline': 'AD', 'distance': 476.22}, {'from': 'GRU', 'to': 'SDQ', 'airline': 'G3', 'distance': 5292.45}]"
MIA,BRA,Miami International Airport,Barreiras Airport,MIA → PUJ → BSB → BRA,4,2,6427.0,5684.48,0.884,"G3, AD","[{'from': 'MIA', 'to': 'PUJ', 'airline': 'G3', 'distance': 1466.3}, {'from': 'PUJ', 'to': 'BSB', 'airline': 'G3', 'distance': 4435.05}, {'from': 'BSB', 'to': 'BRA', 'airline': 'AD', 'distance': 525.65}]"
MOC,FLL,M�rio Ribeiro Airport,Fort Lauderdale Hollywood International Airport,MOC → CNF → BEL → FLL,4,2,6981.49,6168.98,0.884,"G3, AD","[{'from': 'MOC', 'to': 'CNF', 'airline': 'G3', 'distance': 324.82}, {'from': 'CNF', 'to': 'BEL', 'airline': 'AD', 'distance': 2087.15}, {'from': 'BEL', 'to': 'FLL', 'airline': 'AD', 'distance': 4569.52}]"
MCO,RIA,Orlando International Airport,Santa Maria Airport,MCO → SDQ → GRU → POA → RIA,5,3,8027.7,7099.33,0.884,"G3, AD","[{'from': 'MCO', 'to': 'SDQ', 'airline': 'G3', 'distance': 1624.92}, {'from': 'SDQ', 'to': 'GRU', 'airline': 'G3', 'distance': 5292.45}, {'from': 'GRU', 'to': 'POA', 'airline': 'G3', 'distance': 865.58}, {'from': 'POA', 'to': 'RIA', 'airline': 'AD', 'distance': 244.75}]"
GIG,LAJ,Rio Gale�o � Tom Jobim International Airport,Lages Airport,GIG → VCP → LAJ,3,1,1016.23,897.02,0.883,"G3, AD","[{'from': 'GIG', 'to': 'VCP', 'airline': 'G3', 'distance': 398.4}, {'from': 'VCP', 'to': 'LAJ', 'airline': 'AD', 'distance': 617.83}]"
GRU,URG,Guarulhos - Governador Andr� Franco Montoro International Airport,Rubem Berta Airport,GRU → POA → URG,3,1,1431.6,1264.39,0.883,"G3, AD","[{'from': 'GRU', 'to': 'POA', 'airline': 'G3', 'distance': 865.58}, {'from': 'POA', 'to': 'URG', 'airline': 'AD', 'distance': 566.02}]"
REC,POJ,Guararapes - Gilberto Freyre International Airport,Patos de Minas Airport,REC → SSA → VDC → PLU → POJ,5,3,1939.83,1713.29,0.883,"G3, AD","[{'from': 'REC', 'to': 'SSA', 'airline': 'G3', 'distance': 648.65}, {'from': 'SSA', 'to': 'VDC', 'airline': 'AD', 'distance': 349.88}, {'from': 'VDC', 'to': 'PLU', 'airline': 'AD', 'distance': 644.17}, {'from': 'PLU', 'to': 'POJ', 'airline': 'AD', 'distance': 297.13}]"
