Airline_ID,Airline_Name,Departure,Destination,Departure_Name,Destination_Name,Departure_Lat,Departure_Lon,Destination_Lat,Destination_Lon,Distance_km,Is_Domestic
G3,Gol,BSB,NAT,Presidente Juscelino Kubistschek International Airport,Governador Alu�zio Alves International Airport,-15.86916733,-47.92083359,-5.768056,-35.376111,1770.0598931071872,True
G3,Gol,BSB,PMW,Presidente Juscelino Kubistschek International Airport,Brigadeiro Lysias Rodrigues Airport,-15.86916733,-47.92083359,-10.29150009,-48.35699844,622.0032093595562,False
G3,Gol,BSB,POA,Presidente Juscelino Kubistschek International Airport,Salgado Filho Airport,-15.86916733,-47.92083359,-29.99440002,-51.17139816,1605.2710446787844,True
G3,Gol,BSB,PVH,Presidente Juscelino Kubistschek International Airport,Governador Jorge Teixeira de Oliveira Airport,-15.86916733,-47.92083359,-8.709289551,-63.90230179,1908.7506673067412,True
G3,Gol,BSB,RBR,Presidente Juscelino Kubistschek International Airport,Pl�cido de Castro Airport,-15.86916733,-47.92083359,-9.868888855,-67.89805603,2264.396294147127,True
G3,Gol,BSB,REC,Presidente Juscelino Kubistschek International Airport,Guararapes - Gilberto Freyre International Airport,-15.86916733,-47.92083359,-8.126489639,-34.92359924,1654.0321464973456,True
G3,Gol,BSB,SDU,Presidente Juscelino Kubistschek International Airport,Santos Dumont Airport,-15.86916733,-47.92083359,-22.91049957,-43.1631012,928.2303734842703,True
G3,Gol,BSB,SLZ,Presidente Juscelino Kubistschek International Airport,Marechal Cunha Machado International Airport,-15.86916733,-47.92083359,-2.58536005,-44.23410034,1531.254846500338,False
G3,Gol,BSB,SSA,Presidente Juscelino Kubistschek International Airport,Deputado Luiz Eduardo Magalh�es International Airport,-15.86916733,-47.92083359,-12.9086113,-38.32249832,1084.7528931006616,True
G3,Gol,BSB,THE,Presidente Juscelino Kubistschek International Airport,Senador Petr�nio Portela Airport,-15.86916733,-47.92083359,-5.059939861,-42.82350159,1324.491150219611,True
G3,Gol,BSB,VCP,Presidente Juscelino Kubistschek International Airport,Viracopos International Airport,-15.86916733,-47.92083359,-23.00740051,-47.1344986,797.9988021718684,True
G3,Gol,BVB,MAO,Atlas Brasil Cantanhede Airport,Eduardo Gomes International Airport,2.841388941,-60.6922226,-3.038609982,-60.04970169,657.7145305753776,True
G3,Gol,CCS,AUA,Sim�n Bol�var International Airport,Queen Beatrix International Airport,10.601194,-66.991222,12.5014,-70.015198,391.36115422614273,False
G3,Gol,CCS,GRU,Sim�n Bol�var International Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,10.601194,-66.991222,-23.43555641,-46.47305679,4393.7825085948725,False
G3,Gol,CCS,PUJ,Sim�n Bol�var International Airport,Punta Cana International Airport,10.601194,-66.991222,18.56739998,-68.36340332,898.0015087324277,False
G3,Gol,CGB,BSB,Marechal Rondon Airport,Presidente Juscelino Kubistschek International Airport,-15.65289974,-56.11669922,-15.86916733,-47.92083359,877.3487427402782,True
G3,Gol,CGB,CGH,Marechal Rondon Airport,Congonhas Airport,-15.65289974,-56.11669922,-23.62611008,-46.65638733,1328.5904331899553,True
G3,Gol,CGB,CGR,Marechal Rondon Airport,Campo Grande Airport,-15.65289974,-56.11669922,-20.46870041,-54.67250061,556.8157585902655,True
G3,Gol,CGB,GIG,Marechal Rondon Airport,Rio Gale�o � Tom Jobim International Airport,-15.65289974,-56.11669922,-22.80999947,-43.25055695,1566.5144293122191,True
G3,Gol,CGB,GRU,Marechal Rondon Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,-15.65289974,-56.11669922,-23.43555641,-46.47305679,1329.5332204425008,True
G3,Gol,CGB,PVH,Marechal Rondon Airport,Governador Jorge Teixeira de Oliveira Airport,-15.65289974,-56.11669922,-8.709289551,-63.90230179,1145.069012788158,True
G3,Gol,CGH,BSB,Congonhas Airport,Presidente Juscelino Kubistschek International Airport,-23.62611008,-46.65638733,-15.86916733,-47.92083359,872.6035795314035,True
